LINCS_ID	LINCS_name	TCGA_ID
4926	NUMA1	ENSG00000137497
5901	RAN	ENSG00000132341
823	CAPN1	ENSG00000014216
813	CALU	ENSG00000128595
4779	NFE2L1	ENSG00000082641
10550	ARL6IP5	ENSG00000144746
1808	DPYSL2	ENSG00000092964
6176	RPLP1	ENSG00000137818
1495	CTNNA1	ENSG00000044115
1509	CTSD	ENSG00000117984
4144	MAT2A	ENSG00000168906
3915	LAMC1	ENSG00000135862
5757	PTMA	ENSG00000187514
23196	FAM120A	ENSG00000048828
9689	BZW1	ENSG00000082153
468	ATF4	ENSG00000128272
6210	RPS15A	ENSG00000134419
308	ANXA5	ENSG00000164111
3925	STMN1	ENSG00000117632
4035	LRP1	ENSG00000123384
5695	PSMB7	ENSG00000136930
8682	PEA15	ENSG00000162734
1891	ECH1	ENSG00000104823
4953	ODC1	ENSG00000115758
8826	IQGAP1	ENSG00000140575
2547	XRCC6	ENSG00000196419
50	ACO2	ENSG00000100412
8404	SPARCL1	ENSG00000152583
4170	MCL1	ENSG00000143384
3303	HSPA1A	ENSG00000204389
6301	SARS	ENSG00000031698
7009	TMBIM6	ENSG00000139644
10960	LMAN2	ENSG00000169223
3329	HSPD1	ENSG00000144381
7791	ZYX	ENSG00000159840
1153	CIRBP	ENSG00000099622
10574	CCT7	ENSG00000135624
5720	PSME1	ENSG00000092010
5048	PAFAH1B1	ENSG00000007168
6204	RPS10	ENSG00000124614
6209	RPS15	ENSG00000115268
5714	PSMD8	ENSG00000099341
3920	LAMP2	ENSG00000005893
6159	RPL29	ENSG00000162244
2950	GSTP1	ENSG00000084207
10525	HYOU1	ENSG00000149428
6633	SNRPD2	ENSG00000125743
5351	PLOD1	ENSG00000083444
7756	ZNF207	ENSG00000010244
5708	PSMD2	ENSG00000175166
6319	SCD	ENSG00000099194
5908	RAP1B	ENSG00000127314
6227	RPS21	ENSG00000171858
10134	BCAP31	ENSG00000185825
1508	CTSB	ENSG00000164733
3735	KARS	ENSG00000065427
2058	EPRS	ENSG00000136628
9588	PRDX6	ENSG00000117592
5499	PPP1CA	ENSG00000172531
51669	SARAF	ENSG00000133872
10768	AHCYL1	ENSG00000168710
9798	IST1	ENSG00000182149
2783	GNB2	ENSG00000172354
3015	H2AFZ	ENSG00000164032
9611	NCOR1	ENSG00000141027
6202	RPS8	ENSG00000142937
23019	CNOT1	ENSG00000125107
1718	DHCR24	ENSG00000116133
8766	RAB11A	ENSG00000103769
5660	PSAP	ENSG00000197746
55905	RNF114	ENSG00000124226
11171	STRAP	ENSG00000023734
6281	S100A10	ENSG00000197747
10694	CCT8	ENSG00000156261
10528	NOP56	ENSG00000101361
5689	PSMB1	ENSG00000008018
10575	CCT4	ENSG00000115484
2034	EPAS1	ENSG00000116016
3301	DNAJA1	ENSG00000086061
5710	PSMD4	ENSG00000159352
7385	UQCRC2	ENSG00000140740
1152	CKB	ENSG00000166165
389	RHOC	ENSG00000155366
5223	PGAM1	ENSG00000171314
6772	STAT1	ENSG00000115415
6745	SSR1	ENSG00000124783
6434	TRA2B	ENSG00000136527
2288	FKBP4	ENSG00000004478
3068	HDGF	ENSG00000143321
10724	MGEA5	ENSG00000198408
4074	M6PR	ENSG00000003056
9403	SEP15	ENSG00000183291 
191	AHCY	ENSG00000101444
23022	PALLD	ENSG00000129116
6181	RPLP2	ENSG00000177600
7203	CCT3	ENSG00000163468
1974	EIF4A2	ENSG00000156976
5496	PPM1G	ENSG00000115241
3895	KTN1	ENSG00000126777
6734	SRPRA	ENSG00000182934
1912	PHC2	ENSG00000134686
694	BTG1	ENSG00000133639
10945	KDELR1	ENSG00000105438
3959	LGALS3BP	ENSG00000108679
6520	SLC3A2	ENSG00000168003
1337	COX6A1	ENSG00000111775
6228	RPS23	ENSG00000186468
10972	TMED10	ENSG00000170348
7414	VCL	ENSG00000035403
10540	DCTN2	ENSG00000175203
7913	DEK	ENSG00000124795
811	CALR	ENSG00000179218
6132	RPL8	ENSG00000161016
6125	RPL5	ENSG00000122406
473	RERE	ENSG00000142599
3281	HSBP1	ENSG00000230989
3150	HMGN1	ENSG00000205581
22872	SEC31A	ENSG00000138674
2746	GLUD1	ENSG00000148672
8079	MLF2	ENSG00000089693
6224	RPS20	ENSG00000008988
10552	ARPC1A	ENSG00000241685
894	CCND2	ENSG00000118971
527	ATP6V0C	ENSG00000185883
10989	IMMT	ENSG00000132305
6749	SSRP1	ENSG00000149136
6386	SDCBP	ENSG00000137575
2521	FUS	ENSG00000089280
22928	SEPHS2	ENSG00000179918
6160	RPL31	ENSG00000071082
7317	UBA1	ENSG00000130985
3983	ABLIM1	ENSG00000099204
226	ALDOA	ENSG00000149925
5479	PPIB	ENSG00000166794
27230	SERP1	ENSG00000120742
10099	TSPAN3	ENSG00000140391
59	ACTA2	ENSG00000107796
5538	PPT1	ENSG00000131238
8887	TAX1BP1	ENSG00000106052
4190	MDH1	ENSG00000014641
5160	PDHA1	ENSG00000131828
2778	GNAS	ENSG00000087460
309	ANXA6	ENSG00000197043
966	CD59	ENSG00000085063
710	SERPING1	ENSG00000149131
3091	HIF1A	ENSG00000100644
10155	TRIM28	ENSG00000130726
9784	SNX17	ENSG00000115234
10527	IPO7	ENSG00000205339
10970	CKAP4	ENSG00000136026
16	AARS	ENSG00000090861
6748	SSR4	ENSG00000180879
928	CD9	ENSG00000010278
3032	HADHB	ENSG00000138029
10628	TXNIP	ENSG00000265972
6184	RPN1	ENSG00000163902
301	ANXA1	ENSG00000135046
10606	PAICS	ENSG00000128050
3728	JUP	ENSG00000173801
1964	EIF1AX	ENSG00000173674
7533	YWHAH	ENSG00000128245
11034	DSTN	ENSG00000125868
6879	TAF7	ENSG00000178913
9669	EIF5B	ENSG00000158417
4267	CD99	ENSG00000002586
3945	LDHB	ENSG00000111716
3187	HNRNPH1	ENSG00000169045
10904	BLCAP	ENSG00000166619
120	ADD3	ENSG00000148700
3033	HADH	ENSG00000138796
5214	PFKP	ENSG00000067057
5886	RAD23A	ENSG00000179262
2771	GNAI2	ENSG00000114353
7052	TGM2	ENSG00000198959
1843	DUSP1	ENSG00000120129
5870	RAB6A	ENSG00000175582
6222	RPS18	ENSG00000231500
23646	PLD3	ENSG00000105223
8125	ANP32A	ENSG00000140350
9491	PSMF1	ENSG00000125818
10949	HNRNPA0	ENSG00000177733
2804	GOLGB1	ENSG00000173230
10398	MYL9	ENSG00000101335
2040	STOM	ENSG00000148175
5954	RCN1	ENSG00000049449
8761	PABPC4	ENSG00000090621
1537	CYC1	ENSG00000179091
5701	PSMC2	ENSG00000161057
4313	MMP2	ENSG00000087245
23451	SF3B1	ENSG00000115524
6599	SMARCC1	ENSG00000173473
4809	SNU13	ENSG00000100138
9375	TM9SF2	ENSG00000125304
9144	SYNGR2	ENSG00000108639
8396	PIP4K2B	ENSG00000276293
9774	BCLAF1	ENSG00000029363
5829	PXN	ENSG00000089159
526	ATP6V1B2	ENSG00000147416
10376	TUBA1B	ENSG00000123416
5931	RBBP7	ENSG00000102054
6389	SDHA	ENSG00000073578
6235	RPS29	ENSG00000213741
1611	DAP	ENSG00000112977
378	ARF4	ENSG00000168374
9276	COPB2	ENSG00000184432
8239	USP9X	ENSG00000124486
5211	PFKL	ENSG00000141959
3956	LGALS1	ENSG00000100097
2879	GPX4	ENSG00000167468
7057	THBS1	ENSG00000137801
1434	CSE1L	ENSG00000124207
7284	TUFM	ENSG00000178952
5688	PSMA7	ENSG00000101182
5425	POLD2	ENSG00000106628
1363	CPE	ENSG00000109472
5226	PGD	ENSG00000142657
1351	COX8A	ENSG00000176340
10857	PGRMC1	ENSG00000101856
1984	EIF5A	ENSG00000132507
3693	ITGB5	ENSG00000082781
4245	MGAT1	ENSG00000131446
999	CDH1	ENSG00000039068
3188	HNRNPH2	ENSG00000126945
9867	PJA2	ENSG00000198961
1350	COX7C	ENSG00000127184
1892	ECHS1	ENSG00000127884
5355	PLP2	ENSG00000102007
3115	HLA-DPB1	ENSG00000223865
6741	SSB	ENSG00000138385
10457	GPNMB	ENSG00000136235
1965	EIF2S1	ENSG00000134001
10456	HAX1	ENSG00000143575
4780	NFE2L2	ENSG00000116044
7078	TIMP3	ENSG00000100234
4154	MBNL1	ENSG00000152601
6124	RPL4	ENSG00000174444
9927	MFN2	ENSG00000116688
5878	RAB5C	ENSG00000108774
4836	NMT1	ENSG00000136448
8531	YBX3	ENSG00000060138
9698	PUM1	ENSG00000134644
396	ARHGDIA	ENSG00000141522
8553	BHLHE40	ENSG00000134107
8992	ATP6V0E1	ENSG00000113732
54386	TERF2IP	ENSG00000166848
51075	TMX2	ENSG00000213593
372	ARCN1	ENSG00000095139
10054	UBA2	ENSG00000126261
25793	FBXO7	ENSG00000100225
2773	GNAI3	ENSG00000065135
1108	CHD4	ENSG00000111642
5654	HTRA1	ENSG00000166033
4043	LRPAP1	ENSG00000163956
3710	ITPR3	ENSG00000096433
5306	PITPNA	ENSG00000174238
3417	IDH1	ENSG00000138413
6415	SEPW1	ENSG00000178980
8140	SLC7A5	ENSG00000103257
262	AMD1	ENSG00000123505
5707	PSMD1	ENSG00000173692
8804	CREG1	ENSG00000143162
1476	CSTB	ENSG00000160213
5111	PCNA	ENSG00000132646
6238	RRBP1	ENSG00000125844
7126	TNFAIP1	ENSG00000109079
3065	HDAC1	ENSG00000116478
5641	LGMN	ENSG00000100600
5510	PPP1R7	ENSG00000115685
5358	PLS3	ENSG00000102024
10961	ERP29	ENSG00000089248
6625	SNRNP70	ENSG00000104852
5887	RAD23B	ENSG00000119318
10250	SRRM1	ENSG00000133226
4714	NDUFB8	ENSG00000166136
10425	ARIH2	ENSG00000177479
2023	ENO1	ENSG00000074800
5719	PSMD13	ENSG00000185627
3611	ILK	ENSG00000166333
7832	BTG2	ENSG00000159388
830	CAPZA2	ENSG00000198898
1653	DDX1	ENSG00000079785
481	ATP1B1	ENSG00000143153
5894	RAF1	ENSG00000132155
6721	SREBF2	ENSG00000198911
6513	SLC2A1	ENSG00000117394
5315	PKM	ENSG00000067225
5704	PSMC4	ENSG00000013275
10423	CDIPT	ENSG00000103502
9167	COX7A2L	ENSG00000115944
6217	RPS16	ENSG00000105193
6856	SYPL1	ENSG00000008282
6897	TARS	ENSG00000113407
11316	COPE	ENSG00000105669
7296	TXNRD1	ENSG00000198431
5702	PSMC3	ENSG00000165916
23386	NUDCD3	ENSG00000015676
22913	RALY	ENSG00000125970
231	AKR1B1	ENSG00000085662
6726	SRP9	ENSG00000143742
5686	PSMA5	ENSG00000143106
2224	FDPS	ENSG00000160752
5869	RAB5B	ENSG00000111540
3182	HNRNPAB	ENSG00000197451
1601	DAB2	ENSG00000153071
11047	ADRM1	ENSG00000130706
4967	OGDH	ENSG00000105953
327	APEH	ENSG00000164062
23608	MKRN1	ENSG00000133606
6382	SDC1	ENSG00000115884
397	ARHGDIB	ENSG00000111348
3491	CYR61	ENSG00000142871
23478	SEC11A	ENSG00000140612
7153	TOP2A	ENSG00000131747
26118	WSB1	ENSG00000109046
307	ANXA4	ENSG00000196975
9775	EIF4A3	ENSG00000141543
4698	NDUFA5	ENSG00000128609
10541	ANP32B	ENSG00000136938
55752	SEPT11	ENSG00000138758
9315	NREP	ENSG00000134986
6451	SH3BGRL	ENSG00000131171
2026	ENO2	ENSG00000111674
10494	STK25	ENSG00000115694
10581	IFITM2	ENSG00000185201
5683	PSMA2	ENSG00000106588
10627	MYL12A	ENSG00000101608
6601	SMARCC2	ENSG00000139613
506	ATP5B	ENSG00000110955
10969	EBNA1BP2	ENSG00000117395
2012	EMP1	ENSG00000134531
908	CCT6A	ENSG00000146731
2114	ETS2	ENSG00000157557
5917	RARS	ENSG00000113643
6778	STAT6	ENSG00000166888
23365	ARHGEF12	ENSG00000196914
9341	VAMP3	ENSG00000049245
6342	SCP2	ENSG00000116171
8507	ENC1	ENSG00000171617
6631	SNRPC	ENSG00000124562
7322	UBE2D2	ENSG00000131508
79602	ADIPOR2	ENSG00000006831
9368	SLC9A3R1	ENSG00000109062
2319	FLOT2	ENSG00000132589
10730	YME1L1	ENSG00000136758
11176	BAZ2A	ENSG00000076108
1315	COPB1	ENSG00000129083
1471	CST3	ENSG00000101439
79073	TMEM109	ENSG00000110108
4947	OAZ2	ENSG00000180304
678	ZFP36L2	ENSG00000152518
8452	CUL3	ENSG00000036257
5339	PLEC	ENSG00000178209
5516	PPP2CB	ENSG00000104695
3185	HNRNPF	ENSG00000169813
9898	UBAP2L	ENSG00000143569
7165	TPD52L2	ENSG00000101150
10491	CRTAP	ENSG00000170275
4077	NBR1	ENSG00000188554
1665	DHX15	ENSG00000109606
7345	UCHL1	ENSG00000154277
5709	PSMD3	ENSG00000108344
3678	ITGA5	ENSG00000161638
1460	CSNK2B	ENSG00000204435
10131	TRAP1	ENSG00000126602
3482	IGF2R	ENSG00000197081
10181	RBM5	ENSG00000003756
6449	SGTA	ENSG00000104969
26227	PHGDH	ENSG00000092621
23471	TRAM1	ENSG00000067167
5691	PSMB3	ENSG00000277791
156	ADRBK1	ENSG00000173020
4259	MGST3	ENSG00000143198
10980	COPS6	ENSG00000168090
6173	RPL36A	ENSG00000241343
5500	PPP1CB	ENSG00000213639
55041	PLEKHB2	ENSG00000115762
26020	LRP10	ENSG00000197324
3295	HSD17B4	ENSG00000133835
4676	NAP1L4	ENSG00000205531
2937	GSS	ENSG00000100983
6659	SOX4	ENSG00000124766
8314	BAP1	ENSG00000163930
79084	WDR77	ENSG00000116455
10437	IFI30	ENSG00000216490
8451	CUL4A	ENSG00000139842
217	ALDH2	ENSG00000111275
7431	VIM	ENSG00000026025
6414	SEPP1	ENSG00000250722
1364	CLDN4	ENSG00000189143
6168	RPL37A	ENSG00000197756
1809	DPYSL3	ENSG00000113657
847	CAT	ENSG00000121691
9791	PTDSS1	ENSG00000156471
7265	TTC1	ENSG00000113312
1977	EIF4E	ENSG00000151247
1293	COL6A3	ENSG00000163359
8729	GBF1	ENSG00000107862
9416	DDX23	ENSG00000174243
1340	COX6B1	ENSG00000126267
10159	ATP6AP2	ENSG00000182220
1266	CNN3	ENSG00000117519
7072	TIA1	ENSG00000116001
6009	RHEB	ENSG00000106615
9520	NPEPPS	ENSG00000141279
9184	BUB3	ENSG00000154473
10856	RUVBL2	ENSG00000183207
9261	MAPKAPK2	ENSG00000162889
9805	SCRN1	ENSG00000136193
6888	TALDO1	ENSG00000177156
3725	JUN	ENSG00000177606
1728	NQO1	ENSG00000181019
6464	SHC1	ENSG00000160691
9446	GSTO1	ENSG00000148834
8878	SQSTM1	ENSG00000161011
7411	VBP1	ENSG00000155959
3726	JUNB	ENSG00000171223
3675	ITGA3	ENSG00000005884
4141	MARS	ENSG00000166986
6240	RRM1	ENSG00000167325
1736	DKC1	ENSG00000130826
6829	SUPT5H	ENSG00000196235
5834	PYGB	ENSG00000100994
5768	QSOX1	ENSG00000116260
6827	SUPT4H1	ENSG00000213246
5955	RCN2	ENSG00000117906
1075	CTSC	ENSG00000109861
10105	PPIF	ENSG00000108179
10598	AHSA1	ENSG00000100591
6171	RPL41	ENSG00000229117
23369	PUM2	ENSG00000055917
5547	PRCP	ENSG00000137509
4629	MYH11	ENSG00000133392
7874	USP7	ENSG00000187555
6992	PPP1R11	ENSG00000204619
2926	GRSF1	ENSG00000132463
4792	NFKBIA	ENSG00000100906
10146	G3BP1	ENSG00000145907
3912	LAMB1	ENSG00000091136
7045	TGFBI	ENSG00000120708
5201	PFDN1	ENSG00000113068
3487	IGFBP4	ENSG00000141753
14	AAMP	ENSG00000127837
7247	TSN	ENSG00000211460
6723	SRM	ENSG00000116649
10951	CBX1	ENSG00000108468
9868	TOMM70A	ENSG00000154174
22916	NCBP2	ENSG00000114503
347	APOD	ENSG00000189058
381	ARF5	ENSG00000004059
9296	ATP6V1F	ENSG00000128524
6117	RPA1	ENSG00000132383
7538	ZFP36	ENSG00000128016
5684	PSMA3	ENSG00000100567
1499	CTNNB1	ENSG00000168036
5412	UBL3	ENSG00000122042
1845	DUSP3	ENSG00000108861
10467	ZNHIT1	ENSG00000106400
56681	SAR1A	ENSG00000079332
9320	TRIP12	ENSG00000153827
10765	KDM5B	ENSG00000117139
3916	LAMP1	ENSG00000185896
4172	MCM3	ENSG00000112118
6844	VAMP2	ENSG00000220205
25932	CLIC4	ENSG00000169504
22883	CLSTN1	ENSG00000171603
6652	SORD	ENSG00000140263
6624	FSCN1	ENSG00000075618
3398	ID2	ENSG00000115738
2803	GOLGA4	ENSG00000144674
27089	UQCRQ	ENSG00000164405
25813	SAMM50	ENSG00000100347
1635	DCTD	ENSG00000129187
2107	ETF1	ENSG00000120705
22938	SNW1	ENSG00000100603
2720	GLB1	ENSG00000170266
4830	NME1	ENSG00000239672
5420	PODXL	ENSG00000128567
2195	FAT1	ENSG00000083857
56255	TMX4	ENSG00000125827
10212	DDX39A	ENSG00000123136
6421	SFPQ	ENSG00000116560
3654	IRAK1	ENSG00000184216
9352	TXNL1	ENSG00000091164
8243	SMC1A	ENSG00000072501
11188	NISCH	ENSG00000010322
8667	EIF3H	ENSG00000147677
9989	PPP4R1	ENSG00000154845
55854	ZC3H15	ENSG00000065548
3875	KRT18	ENSG00000111057
1347	COX7A2	ENSG00000112695
3636	INPPL1	ENSG00000165458
4942	OAT	ENSG00000065154
11331	PHB2	ENSG00000215021
8519	IFITM1	ENSG00000185885
4659	PPP1R12A	ENSG00000058272
1265	CNN2	ENSG00000064666
11137	PWP1	ENSG00000136045
23463	ICMT	ENSG00000116237
223	ALDH9A1	ENSG00000143149
8906	AP1G2	ENSG00000213983
8607	RUVBL1	ENSG00000175792
800	CALD1	ENSG00000122786
10935	PRDX3	ENSG00000165672
8720	MBTPS1	ENSG00000140943
4681	NBL1	ENSG00000158747
27044	SND1	ENSG00000197157
1615	DARS	ENSG00000115866
3638	INSIG1	ENSG00000186480
10670	RRAGA	ENSG00000155876
8870	IER3	ENSG00000137331
1967	EIF2B1	ENSG00000111361
80777	CYB5B	ENSG00000103018
8087	FXR1	ENSG00000114416
1209	CLPTM1	ENSG00000104853
684	BST2	ENSG00000130303
3460	IFNGR2	ENSG00000159128
3371	TNC	ENSG00000041982
950	SCARB2	ENSG00000138760
3716	JAK1	ENSG00000162434
9246	UBE2L6	ENSG00000156587
3880	KRT19	ENSG00000171345
11252	PACSIN2	ENSG00000100266
10987	COPS5	ENSG00000121022
10175	CNIH1	ENSG00000100528
3339	HSPG2	ENSG00000142798
400	ARL1	ENSG00000120805
2181	ACSL3	ENSG00000123983
10051	SMC4	ENSG00000113810
7076	TIMP1	ENSG00000102265
2697	GJA1	ENSG00000152661
4082	MARCKS	ENSG00000277443
9097	USP14	ENSG00000101557
2997	GYS1	ENSG00000104812
8165	AKAP1	ENSG00000121057
56941	HMCES	ENSG00000183624
51593	SRRT	ENSG00000087087
9231	DLG5	ENSG00000151208
9512	PMPCB	ENSG00000105819
9878	TOX4	ENSG00000092203
8539	API5	ENSG00000166181
7163	TPD52	ENSG00000076554
1958	EGR1	ENSG00000120738
4860	PNP	ENSG00000198805
6429	SRSF4	ENSG00000116350
1786	DNMT1	ENSG00000130816
5706	PSMC6	ENSG00000100519
896	CCND3	ENSG00000112576
10424	PGRMC2	ENSG00000164040
5514	PPP1R10	ENSG00000204569
955	ENTPD6	ENSG00000197586
5713	PSMD7	ENSG00000103035
5824	PEX19	ENSG00000162735
8508	NIPSNAP1	ENSG00000184117
4605	MYBL2	ENSG00000101057
5903	RANBP2	ENSG00000153201
7283	TUBG1	ENSG00000131462
22985	ACIN1	ENSG00000100813
740	MRPL49	ENSG00000149792
2037	EPB41L2	ENSG00000079819
7805	LAPTM5	ENSG00000162511
2589	GALNT1	ENSG00000141429
8872	CDC123	ENSG00000151465
1994	ELAVL1	ENSG00000066044
9703	KIAA0100	ENSG00000007202
7175	TPR	ENSG00000047410
1182	CLCN3	ENSG00000109572
10299	MARCH6	ENSG00000145495
10289	EIF1B	ENSG00000114784
6446	SGK1	ENSG00000118515
4722	NDUFS3	ENSG00000213619
6426	SRSF1	ENSG00000136450
929	CD14	ENSG00000170458
4060	LUM	ENSG00000139329
5756	TWF1	ENSG00000151239
7157	TP53	ENSG00000141510
6294	SAFB	ENSG00000160633
1889	ECE1	ENSG00000117298
9929	JOSD1	ENSG00000100221
1345	COX6C	ENSG00000164919
6118	RPA2	ENSG00000117748
7251	TSG101	ENSG00000074319
55884	WSB2	ENSG00000176871
10797	MTHFD2	ENSG00000065911
5721	PSME2	ENSG00000100911
1616	DAXX	ENSG00000204209
79022	TMEM106C	ENSG00000134291
3073	HEXA	ENSG00000213614
60528	ELAC2	ENSG00000006744
9685	CLINT1	ENSG00000113282
6626	SNRPA	ENSG00000077312
10067	SCAMP3	ENSG00000116521
51582	AZIN1	ENSG00000155096
23394	ADNP	ENSG00000101126
9918	NCAPD2	ENSG00000010292
9813	EFCAB14	ENSG00000159658
11342	RNF13	ENSG00000082996
9049	AIP	ENSG00000110711
5970	RELA	ENSG00000173039
10944	C11orf58	ENSG00000110696
6035	RNASE1	ENSG00000129538
103	ADAR	ENSG00000160710
11325	DDX42	ENSG00000198231
1717	DHCR7	ENSG00000172893
165	AEBP1	ENSG00000106624
9887	SMG7	ENSG00000116698
3930	LBR	ENSG00000143815
7407	VARS	ENSG00000204394
26509	MYOF	ENSG00000138119
5007	OSBP	ENSG00000110048
2030	SLC29A1	ENSG00000112759
5431	POLR2B	ENSG00000047315
1155	TBCB	ENSG00000105254
5571	PRKAG1	ENSG00000181929
9559	VPS26A	ENSG00000122958
2022	ENG	ENSG00000106991
9467	SH3BP5	ENSG00000131370
9779	TBC1D5	ENSG00000131374
2631	GBAS	ENSG00000146729
9690	UBE3C	ENSG00000009335
79888	LPCAT1	ENSG00000153395
949	SCARB1	ENSG00000073060
3852	KRT5	ENSG00000186081
9604	RNF14	ENSG00000013561
51097	SCCPDH	ENSG00000143653
6603	SMARCD2	ENSG00000108604
